track_id,name,album,artist,release_date,length,popularity,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
4xdBrk0nFZaP54vvZj0yx7,HOT TO GO!,The Rise and Fall of a Midwest Princess,Chappell Roan,2023-09-22,184841,90,0.742,0.0187,0.757,0.0,0.305,-4.981,0.0421,139.982,4
6dOtVTDdiauQNBQEDOtlAB,BIRDS OF A FEATHER,HIT ME HARD AND SOFT,Billie Eilish,2024-05-17,210373,99,0.747,0.2,0.507,0.0608,0.117,-10.171,0.0358,104.978,4
5N3hjp1WNayUPZrA8kJmJP,Please Please Please,Please Please Please,Sabrina Carpenter,2024-06-06,186365,98,0.669,0.274,0.586,0.0,0.104,-6.073,0.054,107.071,4
19RybK6XDbAVpcdxSbZL1o,Apple,BRAT,Charli xcx,2024-06-07,151739,86,0.804,0.125,0.957,0.0174,0.114,-5.452,0.034,126.035,4
51eSHglvG1RJXtL3qI5trr,Slow It Down,Fireworks & Rollerblades,Benson Boone,2024-04-05,161831,89,0.432,0.174,0.583,0.0,0.0933,-4.682,0.0687,181.489,4
7221xIgOnuakPdLqT0F3nP,I Had Some Help (Feat. Morgan Wallen),I Had Some Help,Post Malone,2024-05-10,178205,95,0.638,0.00757,0.855,0.0,0.245,-4.86,0.0264,127.986,4
2FQrifJ1N335Ljm3TjTVVf,A Bar Song (Tipsy),A Bar Song (Tipsy),Shaboozey,2024-04-12,171291,92,0.722,0.0633,0.709,0.0,0.0804,-4.95,0.0273,81.012,4
2qSkIjg1o9h3YT9RAgYN75,Espresso,Espresso,Sabrina Carpenter,2024-04-12,175459,99,0.701,0.107,0.76,6.54e-05,0.185,-5.478,0.0285,103.969,4
5AJ9hqTS2wcFQCELCFRO7A,MILLION DOLLAR BABY,MILLION DOLLAR BABY,Tommy Richman,2024-04-26,155151,95,0.852,0.0973,0.697,0.00037,0.0678,-5.52,0.0439,138.029,4
6AI3ezQ4o3HUoP6Dhudph3,Not Like Us,Not Like Us,Kendrick Lamar,2024-05-04,274192,96,0.898,0.0107,0.472,0.0,0.141,-7.001,0.0776,101.061,4
0WbMK4wrZ1wFSty9F7FCgu,"Good Luck, Babe!","Good Luck, Babe!",Chappell Roan,2024-04-05,218423,96,0.7,0.0502,0.582,0.0,0.0881,-5.96,0.0356,116.712,4
3Vr3zh0r7ALn8VLqCiRR10,Stargazing,Stargazing,Myles Smith,2024-05-10,172533,93,0.635,0.246,0.601,0.0,0.11,-6.129,0.0295,123.994,4
6WatFBLVB0x077xWeoVc2k,Si Antes Te Hubiera Conocido,Si Antes Te Hubiera Conocido,KAROL G,2024-06-21,195824,95,0.924,0.446,0.668,0.000594,0.0678,-6.795,0.0469,128.027,4
4IadxL6BUymXlh8RCJJu7T,Too Sweet,Unheard,Hozier,2024-03-22,251424,83,0.741,0.0295,0.62,0.000809,0.0398,-5.505,0.0412,117.038,4
4q5YezDOIPcoLr8R81x9qy,I Can Do It With a Broken Heart,THE TORTURED POETS DEPARTMENT,Taylor Swift,2024-04-18,218004,87,0.701,0.123,0.751,0.0,0.15,-8.39,0.0502,129.994,4
6tNQ70jh4OwmPGpYy6R2o9,Beautiful Things,Beautiful Things,Benson Boone,2024-01-18,180304,90,0.472,0.151,0.471,0.0,0.14,-5.692,0.0603,105.029,3
