track_id,length,popularity,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,favorite
7aXAO9hfBlyAt8VdQwjPje,223255,32,0.527,0.109,0.944,0.799,0.4,-0.669,0.358,172.142,4,1
4aZ9YyxKfek4k2Gfm4eeFs,164068,49,0.641,0.00472,0.898,0.535,0.219,-0.875,0.325,145.049,4,1
5VJuzCF7u2Q7G9hYvtd6f6,210206,39,0.626,0.0169,0.895,0.000352,0.285,-2.136,0.0785,144.97,4,1
4fj1ITLZ06PioSOZK8rhUc,203076,39,0.601,0.13,0.728,0.0,0.0846,-2.944,0.04,156.169,4,1
4J7CKHCF3mdL4diUsmW8lq,184280,78,0.544,0.129,0.915,0.000914,0.115,-3.405,0.0841,126.094,4,1
2cH8wHImerFokgmhjyhCTU,162026,73,0.807,0.177,0.49,0.0,0.0937,-8.451,0.353,113.982,4,1
0Tcy9RRWvcnqepvmVcqv05,208457,59,0.473,0.00161,0.974,0.891,0.166,-3.554,0.0782,175.097,4,1
0nrRP2bk19rLc0orkWPQk2,247426,86,0.532,0.0038,0.783,0.0012,0.161,-5.697,0.0523,124.08,4,1
2fga4JgHuq91W9HiTfo9GC,241714,52,0.561,0.061,0.95,0.00519,0.115,-3.11,0.0537,139.926,4,1
6XkIQqAsFjk1XfD4L7G6qR,142640,63,0.805,0.145,0.548,0.000148,0.377,-9.316,0.173,99.95,4,1
78W8wiUIlQ2SnWY9TVowKZ,174202,51,0.497,0.0306,0.865,0.0679,0.443,-3.19,0.0644,125.96,4,1
4IadxL6BUymXlh8RCJJu7T,251424,82,0.741,0.0295,0.62,0.000809,0.0398,-5.505,0.0412,117.038,4,1
3SAga35lAPYdjj3qyfEsCF,157974,82,0.565,0.0288,0.593,0.0,0.215,-5.864,0.0883,120.509,4,1
65s9dLrylbHp60IYIcUZEz,245538,60,0.472,0.0132,0.841,0.0,0.108,-4.236,0.052,129.799,4,1
31ZO9XuKt48Qb2eUTBynd2,215905,61,0.505,0.0825,0.737,0.0,0.0807,-5.608,0.0405,126.992,4,1
6s3GEN8wK0OMzzzZbXj0fu,212647,67,0.565,0.00868,0.849,4.68e-06,0.12,-3.516,0.0517,102.034,4,1
7bJ6jD8vlKDU2lmur1lMjp,193560,45,0.662,0.722,0.468,0.0,0.121,-7.86,0.0371,80.002,4,1
561pBFcFL2Pwb9HPO9tU8J,226677,79,0.548,0.0253,0.878,0.000934,0.0909,-5.154,0.0598,174.043,4,1
4Kh6cq3XgOGUK9yXQu7RTq,134482,62,0.619,0.178,0.502,0.0,0.155,-8.097,0.249,174.196,4,1
7H4LlyRX0YjXhJFLN5nIae,303428,45,0.59,0.0158,0.959,0.322,0.218,-1.407,0.168,139.997,4,1
3nlwxpdoduF0VTIphyOS2Q,158235,50,0.672,0.08,0.687,0.0,0.534,-8.247,0.248,125.938,4,1
2x0RZdkZcD8QRI53XT4GI5,157202,71,0.802,0.272,0.645,0.0,0.119,-6.181,0.0715,100.001,4,1
23L5CiUhw2jV1OIMwthR3S,195706,78,0.501,0.109,0.519,0.0,0.454,-5.88,0.0409,133.99,4,1
24fSBi06Sl89i2mPpl4jvz,253440,38,0.592,0.0599,0.741,0.0038,0.259,-7.671,0.0397,125.012,4,1
6AI3ezQ4o3HUoP6Dhudph3,274192,96,0.898,0.0107,0.472,0.0,0.141,-7.001,0.0776,101.061,4,1
1bjeWoagtHmUKputLVyDxQ,186191,89,0.411,0.62,0.619,0.0,0.11,-6.834,0.0368,177.937,4,1
0qq33nVMNHelvjRGhTKPVH,227210,51,0.519,0.0432,0.902,2.55e-06,0.138,-2.065,0.058,159.873,4,1
