track_id,length,popularity,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,favorite
4xdBrk0nFZaP54vvZj0yx7,184841,90,0.742,0.0187,0.757,0.0,0.305,-4.981,0.0421,139.982,4,0
6dOtVTDdiauQNBQEDOtlAB,210373,99,0.747,0.2,0.507,0.0608,0.117,-10.171,0.0358,104.978,4,0
5N3hjp1WNayUPZrA8kJmJP,186365,98,0.669,0.274,0.586,0.0,0.104,-6.073,0.054,107.071,4,0
19RybK6XDbAVpcdxSbZL1o,151739,86,0.804,0.125,0.957,0.0174,0.114,-5.452,0.034,126.035,4,0
51eSHglvG1RJXtL3qI5trr,161831,89,0.432,0.174,0.583,0.0,0.0933,-4.682,0.0687,181.489,4,0
7221xIgOnuakPdLqT0F3nP,178205,95,0.638,0.00757,0.855,0.0,0.245,-4.86,0.0264,127.986,4,0
2FQrifJ1N335Ljm3TjTVVf,171291,92,0.722,0.0633,0.709,0.0,0.0804,-4.95,0.0273,81.012,4,0
2qSkIjg1o9h3YT9RAgYN75,175459,99,0.701,0.107,0.76,6.54e-05,0.185,-5.478,0.0285,103.969,4,0
5AJ9hqTS2wcFQCELCFRO7A,155151,95,0.852,0.0973,0.697,0.00037,0.0678,-5.52,0.0439,138.029,4,0
6AI3ezQ4o3HUoP6Dhudph3,274192,96,0.898,0.0107,0.472,0.0,0.141,-7.001,0.0776,101.061,4,0
0WbMK4wrZ1wFSty9F7FCgu,218423,96,0.7,0.0502,0.582,0.0,0.0881,-5.96,0.0356,116.712,4,0
3Vr3zh0r7ALn8VLqCiRR10,172533,93,0.635,0.246,0.601,0.0,0.11,-6.129,0.0295,123.994,4,0
6WatFBLVB0x077xWeoVc2k,195824,95,0.924,0.446,0.668,0.000594,0.0678,-6.795,0.0469,128.027,4,0
4IadxL6BUymXlh8RCJJu7T,251424,83,0.741,0.0295,0.62,0.000809,0.0398,-5.505,0.0412,117.038,4,0
4q5YezDOIPcoLr8R81x9qy,218004,87,0.701,0.123,0.751,0.0,0.15,-8.39,0.0502,129.994,4,0
6tNQ70jh4OwmPGpYy6R2o9,180304,90,0.472,0.151,0.471,0.0,0.14,-5.692,0.0603,105.029,3,0
3qhlB30KknSejmIvZZLjOD,159245,93,0.689,0.0351,0.454,0.00259,0.0707,-7.643,0.0584,159.982,4,0
46kspZSY3aKmwQe7O77fCC,228639,85,0.645,0.0615,0.646,3.04e-05,0.074,-8.334,0.0427,115.842,4,0
17phhZDn6oGtzMe56NuWvj,210688,91,0.561,0.199,0.604,1.9e-05,0.104,-4.409,0.0337,159.92,3,0
22DH8NChecsgPxDjA4pqer,188828,88,0.582,0.452,0.557,1.87e-05,0.121,-7.981,0.101,84.989,4,0
629DixmZGHc7ILtEntuiWE,179586,93,0.893,0.0452,0.4,0.0823,0.0632,-7.981,0.0643,124.987,4,0
2uqYupMHANxnwgeiXTZXzd,171782,91,0.756,0.464,0.672,3.37e-06,0.108,-6.743,0.0522,114.935,4,0
2GxrNKugF82CnoRFbQfzPf,142514,92,0.599,0.000938,0.946,0.0106,0.0826,-4.263,0.0447,151.647,4,0
1BJJbSX6muJVF2AK7uH1x4,177598,90,0.727,0.0563,0.782,0.336,0.225,-8.529,0.042,119.992,4,0
4w2GLmK2wnioVnb5CPQeex,133805,88,0.857,0.646,0.62,0.244,0.0934,-8.13,0.0472,120.042,4,0
2HYFX63wP3otVIvopRS99Z,227239,91,0.936,0.0292,0.887,1.88e-06,0.0582,-2.76,0.0683,127.003,4,0
331l3xABO0HMr1Kkyh2LZq,149667,90,0.681,0.0375,0.714,0.0,0.232,-4.617,0.0309,129.976,4,0
